account_id,capacity(R),master_score,I_rank,CV_rank
1,0.09203612479474549,0.8805547900856122,Medium,High
2,0.18735045742434905,0.965867791122298,Low,Medium
3,0.9253477252970154,0.895443667735409,High,Medium
4,0.3052738336713996,0.9187516756546835,High,Medium
5,0.4551302826030594,0.94831562920018,High,Medium
6,0.2876460929199266,0.9462421686818493,High,Medium
7,0.843435960591133,0.9415742476241814,Medium,Low
8,0.5731890236200581,0.9319919328466905,Medium,Low
9,0.10341358495802401,0.4193127887545945,Medium,High
10,0.6519066678395498,0.934351030281472,Medium,Low
11,0.1877754731656728,0.954822845104913,High,Medium
12,0.4019088669950739,0.8951493279923032,High,High
13,0.2544065578817734,0.8771722274041064,High,Medium
14,0.4840886699507389,0.9207752828124564,Medium,Low
15,0.2353954791037661,0.9642754222075657,Low,Low
16,0.6778940886699507,0.8504308050996483,Medium,Low
17,1.310184193617477,0.5952655819721395,High,High
18,0.37480699948533197,0.917608231473282,Low,High
19,0.07599081952530229,0.8865213361304166,Low,Medium
20,0.1944823187895848,0.937615663777134,High,Medium
21,1.3657122331691298,0.8870909387652315,High,High
22,0.19295004753262465,0.9590358109220353,Low,Low
23,0.38177799426512754,0.9771886427826875,Low,Low
24,0.2768241995073892,0.8465271374257707,Medium,Medium
25,0.3205580091727535,0.8571335374063768,Low,Medium
26,0.2489512777093596,0.9646327241115399,Low,Low
27,0.15725428102275393,0.9599550193879778,Low,Medium
29,0.23583115512214736,0.9508394988377309,Low,Low
30,0.30199096880131365,0.8897939549462828,Low,Medium
31,0.0743282579489476,0.9205688671030171,Low,Medium
32,0.6904941502463053,0.9529156099024052,High,Low
33,0.5406596366995073,0.9705545427391805,Medium,Low
34,0.24492728125733051,0.9723882270906473,Low,Low
35,0.09816691928760894,0.9494234648543818,Medium,Medium
36,0.3747963243652899,0.9712434930484396,Low,Low
37,0.8832165948275862,0.6879062132465913,Medium,High
38,0.8578355911330049,0.8788875615713063,High,Medium
39,0.07963875205254516,0.9539340792641441,Low,Medium
40,0.11761083743842364,0.9441122868592216,Low,Medium
41,1.9389431958128078,0.9370360980990345,High,Low
42,0.28564831104855737,0.9135539807719957,Medium,Low
43,0.346349890530925,0.9585604909714571,Low,Low
44,0.1094450775678259,0.9576012502841508,Medium,Medium
45,0.5310755336617407,0.9064771460387667,High,High
47,0.37878117302955666,0.9613694556249681,Low,Low
48,0.8732881773399015,0.927553329378316,Medium,Low
49,0.23560652709359606,0.9022412467790362,High,High
50,0.48204209583519925,0.964312074228306,Medium,Low
51,0.9754290481487367,0.9304620840980147,High,Low
52,0.2831843007067894,0.8978124957000707,Low,Low
53,0.1108227773868168,0.9074177478601375,Medium,Medium
54,0.1919249054874556,0.947897240225244,High,Medium
55,0.18997210953346857,0.9229104704109764,High,Medium
56,0.32216188983430366,0.9642151455396375,Medium,Low
57,0.4510396379883147,0.9465003639527125,Medium,Low
58,0.12371349401829697,0.7531257884007115,Medium,High
59,0.43101827845475765,0.9552186415291736,Medium,Medium
61,0.09445812807881775,0.9214761272958882,Medium,High
62,0.07433783108445777,0.960682448141499,Low,Medium
63,0.39812807881773393,0.9022377420566486,High,High
64,0.3185550082101806,0.5239953520390634,High,High
65,0.664787798408488,0.930255581482167,Medium,Low
66,0.5144499178981938,0.9624112165334301,Low,Low
67,0.24441502463054188,0.9569421544863752,Low,Low
68,0.6229282122331691,0.9316298773059392,Low,Medium
69,0.5582512315270937,0.5239030678271345,High,High
70,0.28384691582780036,0.9391361117412623,Medium,Medium
71,0.37568598219687155,0.9563750404592295,Low,Low
72,0.22924876847290643,0.7755205933121204,Low,High
73,0.31244952757813127,0.9585136833375723,Low,Low
75,0.19460437192118227,0.8771165948612759,Low,Medium
76,0.19490902590179565,0.8790532140474123,Medium,Medium
77,0.23810344827586205,0.8829437189493138,Low,Low
78,0.36905077680939746,0.9760227804397893,Medium,Low
79,0.2696551724137931,0.9392072912516638,High,Medium
80,0.21581722874826326,0.9439752855025707,High,Medium
81,0.3868162901307967,0.8998219485127809,High,High
82,0.46972682489923867,0.9069644577198127,Low,High
83,0.15038666328600409,0.9667392391604084,Low,Medium
84,0.890513820470717,0.753917738201747,Medium,High
85,0.7625058644147317,0.90810185143567,High,Medium
86,0.09797333476119084,0.9611939193099561,Medium,High
88,0.2592152199762188,0.9475062441962574,High,Medium
89,0.7782430213464696,0.9357616912839574,High,High
90,0.1400629705362952,0.9539834986978748,Low,Low
91,-0.05372536945812808,0.48184594577209633,Low,High
93,0.34896346469622336,0.7923955878231845,High,High
95,0.5503010399562123,0.9496783153308836,Medium,Low
96,0.3731527093596059,0.973166473059462,Low,Low
97,0.5221674876847291,0.9083810279414057,Medium,Low
98,0.23395773917552504,0.8873474303127842,High,High
99,0.017241379310344827,0.8147925455450177,Low,High
100,0.38395422824302133,0.9429572198995856,Medium,Medium
101,0.7088881619458128,0.8929975576116472,Medium,Medium
102,0.24819243604004448,0.8598887680638002,Low,High
103,0.35469846245708314,0.7587774285409634,Low,High
104,0.1159672920892495,0.9677893187044709,High,Medium
105,0.31182990437554337,0.5883321543075598,Medium,High
106,0.40794334975369456,0.9576323897385575,Medium,Low
107,0.22333541952677058,0.9548999260762383,Medium,Medium
108,0.38977148330596617,0.948503974870365,Medium,Low
109,0.64375,0.9243510922063974,High,High
110,0.7842491931374214,0.8947502150298424,Medium,Low
112,0.23105411579924323,0.9319101444353983,Medium,High
113,0.2796840496008154,0.9138476519624452,High,Medium
114,0.3825944170771757,0.9222969271086146,High,High
115,0.14984918255158136,0.9724223655181391,Low,Low
116,0.6736359904463353,0.9076402758913767,Medium,Low
117,0.08140296348424428,0.9361624603052611,Low,High
118,0.6050903119868637,0.937216608481292,High,High
119,0.26364789353723994,0.9788515406007914,Low,Low
120,0.18939860426929392,0.7918616134882899,Low,High
121,0.768670830401126,0.959483663587467,High,High
122,0.6723545850701023,0.9404401102499894,Medium,Low
123,0.10425144570571858,0.9715152396389664,Medium,Low
124,0.34800903119868637,0.869790688792351,High,High
125,0.7395890348476556,0.6373008907585034,Medium,High
126,0.24997020498967107,0.8953889824148542,Low,High
127,0.09304399524375744,0.954115664095355,Medium,Medium
128,0.32851864883884596,0.8915291042849767,High,High
129,0.43675228712174535,0.9606755612630844,High,Low
130,0.40816726377071205,0.9192224077693802,High,Medium
131,0.26642036124794743,0.8738537053706764,Medium,High
132,0.34324845065946286,0.7687659492945201,Low,High
133,1.0243886347642506,0.7464401921051147,Medium,High
134,1.168103448275862,0.9467592489455445,High,High
135,0.34371734587251834,0.9458196724143019,High,High
136,0.26900921658986177,0.9217508811550018,High,Medium
137,0.5262018005775437,0.9129937161305888,Medium,Low
138,0.16736137425792597,0.6170804746662929,High,High
139,0.8787756028001037,0.8266414926462958,Medium,High
140,0.48812602627257806,0.2896673017910639,High,High
141,0.5118861024033438,0.899633961521286,Low,Low
142,0.09771727656579873,0.9663327936805459,Medium,Medium
143,0.28038177339901477,0.9031471018750936,High,Medium
144,1.3004464285714286,0.7912606745172178,Medium,Medium
145,0.5489532019704434,0.9275939838273888,High,Medium
146,0.1895574321682696,0.9530536161789234,Medium,Medium
148,0.1268006418868488,0.9676166945206031,High,Medium
149,1.2769514967790832,0.9287023361351058,High,High
150,0.13514641488779422,0.43843777717766186,Medium,High
151,0.11883259050746736,0.9264010398517134,Medium,High
152,0.17920643472906403,0.8590152230567584,Medium,High
153,0.11077390726405503,0.9597278220592804,Low,Low
154,0.5264949370552818,0.9587371637715798,Medium,Low
155,0.16524930102516308,0.8371875551541742,Medium,High
156,0.3587262491203378,0.9481045217995635,High,High
157,0.4977861834388929,0.8990379814835096,High,Medium
158,0.11804187192118226,0.9343404784847026,Low,Low
159,1.3256409538737124,0.9226096641291366,High,Low
160,0.23907264055047306,0.9208118165247798,Low,High
