account_id,ORDERS,Sipo_Order,Uver_Order,Leasing_Order,Pojistne_Order,Other_Order,TotalOrder
2,yes,7266.0,3372.7,0.0,0.0,0.0,10638.7
17,yes,4032.0,0.0,0.0,0.0,0.0,4032.0
22,yes,6352.0,0.0,0.0,0.0,0.0,6352.0
36,yes,4069.0,0.0,0.0,0.0,0.0,4069.0
49,yes,3102.0,0.0,0.0,0.0,0.0,3102.0
50,yes,269.0,0.0,0.0,0.0,7024.0,7293.0
57,yes,4107.0,0.0,0.0,0.0,0.0,4107.0
71,yes,968.0,0.0,0.0,1011.0,2380.0,4359.0
72,yes,7109.0,0.0,2923.0,0.0,2286.0,12318.0
75,yes,3369.0,0.0,0.0,0.0,0.0,3369.0
90,yes,2774.0,0.0,0.0,4372.0,2736.0,9882.0
95,No,NULL,NULL,NULL,NULL,NULL,NULL
99,yes,4503.0,0.0,0.0,0.0,4682.0,9185.0
152,yes,426.0,0.0,0.0,0.0,2993.0,3419.0
177,No,NULL,NULL,NULL,NULL,NULL,NULL
179,yes,7615.0,0.0,0.0,378.0,5674.0,13667.0
186,yes,6862.0,0.0,0.0,0.0,0.0,6862.0
197,yes,9454.0,0.0,0.0,0.0,0.0,9454.0
205,yes,4297.0,0.0,0.0,0.0,0.0,4297.0
225,yes,3383.0,0.0,0.0,0.0,2.0,3385.0
229,yes,2505.0,0.0,0.0,0.0,0.0,2505.0
230,yes,5615.0,0.0,0.0,1058.0,1527.0,8200.0
248,yes,0.0,0.0,2484.9,0.0,0.0,2484.9
271,yes,1535.0,0.0,0.0,0.0,0.0,1535.0
281,yes,5578.0,0.0,0.0,0.0,0.0,5578.0
289,yes,5745.0,0.0,0.0,0.0,2621.0,8366.0
293,yes,1636.0,0.0,0.0,1366.0,845.0,3847.0
300,yes,1628.0,0.0,0.0,0.0,0.0,1628.0
322,yes,6550.0,0.0,0.0,0.0,0.0,6550.0
324,yes,2069.0,0.0,0.0,0.0,0.0,2069.0
328,yes,2432.0,0.0,0.0,0.0,0.0,2432.0
334,yes,2374.0,0.0,0.0,0.0,1168.0,3542.0
340,yes,1818.0,0.0,0.0,0.0,0.0,1818.0
363,No,NULL,NULL,NULL,NULL,NULL,NULL
364,yes,2221.0,0.0,0.0,0.0,0.0,2221.0
366,yes,2442.0,0.0,0.0,836.0,5102.0,8380.0
386,yes,4711.0,0.0,0.0,0.0,0.0,4711.0
392,yes,1407.0,0.0,0.0,0.0,5663.0,7070.0
395,yes,3871.0,0.0,828.0,0.0,4036.0,8735.0
